season,constructor,era,races,total_points,avg_grid_position,avg_finish_position,dnf_rate,wins,podiums,top10_finishes,podium_rate,top10_rate,final_rank,prev_final_rank,prev_total_points,prev_avg_grid_position,prev_avg_finish_position,prev_dnf_rate,prev_wins,prev_podiums,prev_top10_finishes,prev_podium_rate,prev_top10_rate,prev_driver_strength_mean,prev_driver_strength_max
2021,Alpine,2017-2021_wide_car,22,155.0,10.590909090909092,10.25,0.5454545454545454,1,2,29,0.045454545454545456,0.6590909090909091,5,5.0,181.0,8.823529411764707,8.941176470588236,0.38235294117647056,0.0,3.0,24.0,0.08823529411764706,0.7058823529411765,0.07090909090909091,0.08121212121212121
2022,Alpine,2022-2025_ground_effect,22,170.0,10.068181818181818,9.863636363636363,0.3409090909090909,0,0,30,0.0,0.6818181818181818,4,5.0,155.0,10.590909090909092,10.25,0.5454545454545454,1.0,2.0,29.0,0.045454545454545456,0.6590909090909091,0.10606060606060606,0.10787878787878788
2023,Alpine,2022-2025_ground_effect,22,110.0,11.204545454545455,11.272727272727273,0.2727272727272727,0,2,23,0.045454545454545456,0.5227272727272727,5,4.0,170.0,10.068181818181818,9.863636363636363,0.3409090909090909,0.0,0.0,30.0,0.0,0.6818181818181818,0.06787878787878787,0.10787878787878788
2024,Alpine,2022-2025_ground_effect,24,63.0,13.354166666666666,13.3125,0.625,0,2,14,0.041666666666666664,0.2916666666666667,6,5.0,110.0,11.204545454545455,11.272727272727273,0.2727272727272727,0.0,2.0,23.0,0.045454545454545456,0.5227272727272727,0.07272727272727272,0.07393939393939394
2025,Alpine,2022-2025_ground_effect,24,20.0,14.791666666666666,15.354166666666666,0.6041666666666666,0,0,5,0.0,0.10416666666666667,10,6.0,63.0,13.354166666666666,13.3125,0.625,0.0,2.0,14.0,0.041666666666666664,0.2916666666666667,0.0202020202020202,0.05454545454545454
2011,Aston Martin,2010-2013_post_points_change,19,69.0,11.631578947368421,11.31578947368421,0.6578947368421053,0,0,17,0.0,0.4473684210526316,6,7.0,68.0,13.605263157894736,13.342105263157896,0.5,0.0,0.0,15.0,0.0,0.39473684210526316,0.05696969696969697,0.05696969696969697
2012,Aston Martin,2010-2013_post_points_change,20,109.0,11.45,11.075,0.2,0,0,20,0.0,0.5,7,6.0,69.0,11.631578947368421,11.31578947368421,0.6578947368421053,0.0,0.0,17.0,0.0,0.4473684210526316,0.029696969696969697,0.03272727272727273
2013,Aston Martin,2010-2013_post_points_change,19,77.0,12.789473684210526,12.947368421052632,0.47368421052631576,0,0,17,0.0,0.4473684210526316,6,7.0,109.0,11.45,11.075,0.2,0.0,0.0,20.0,0.0,0.5,0.05333333333333333,0.055757575757575756
2014,Aston Martin,2014-2016_early_hybrid,19,155.0,11.5,9.973684210526315,0.3684210526315789,0,1,27,0.02631578947368421,0.7105263157894737,6,6.0,77.0,12.789473684210526,12.947368421052632,0.47368421052631576,0.0,0.0,17.0,0.0,0.4473684210526316,0.06060606060606061,0.06181818181818182
2015,Aston Martin,2014-2016_early_hybrid,19,136.0,10.078947368421053,10.526315789473685,0.631578947368421,0,1,21,0.02631578947368421,0.5526315789473685,5,6.0,155.0,11.5,9.973684210526315,0.3684210526315789,0.0,1.0,27.0,0.02631578947368421,0.7105263157894737,0.09696969696969697,0.11636363636363636
2016,Aston Martin,2014-2016_early_hybrid,21,173.0,9.071428571428571,9.952380952380953,0.38095238095238093,0,2,30,0.047619047619047616,0.7142857142857143,4,5.0,136.0,10.078947368421053,10.526315789473685,0.631578947368421,0.0,1.0,21.0,0.02631578947368421,0.5526315789473685,0.08545454545454545,0.1006060606060606
2017,Aston Martin,2017-2021_wide_car,20,187.0,9.175,8.35,0.475,0,0,35,0.0,0.875,4,4.0,173.0,9.071428571428571,9.952380952380953,0.38095238095238093,0.0,2.0,30.0,0.047619047619047616,0.7142857142857143,0.06727272727272728,0.13454545454545455
2018,Aston Martin,2017-2021_wide_car,21,111.0,10.69047619047619,11.19047619047619,0.5476190476190477,0,1,22,0.023809523809523808,0.5238095238095238,5,4.0,187.0,9.175,8.35,0.475,0.0,0.0,35.0,0.0,0.875,0.11333333333333334,0.12121212121212122
2019,Aston Martin,2017-2021_wide_car,21,73.0,13.761904761904763,11.785714285714286,0.6666666666666666,0,0,17,0.0,0.40476190476190477,7,5.0,111.0,10.69047619047619,11.19047619047619,0.5476190476190477,0.0,1.0,22.0,0.023809523809523808,0.5238095238095238,0.04424242424242424,0.08121212121212121
2020,Aston Martin,2017-2021_wide_car,17,210.0,8.294117647058824,9.205882352941176,0.35294117647058826,1,4,25,0.11764705882352941,0.7352941176470589,3,7.0,73.0,13.761904761904763,11.785714285714286,0.6666666666666666,0.0,0.0,17.0,0.0,0.40476190476190477,0.044444444444444446,0.06303030303030303
2021,Aston Martin,2017-2021_wide_car,22,77.0,12.136363636363637,12.0,0.6363636363636364,0,1,16,0.022727272727272728,0.36363636363636365,7,3.0,210.0,8.294117647058824,9.205882352941176,0.35294117647058826,1.0,4.0,25.0,0.11764705882352941,0.7352941176470589,0.07454545454545454,0.10303030303030303
